host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
49.156.45.169;49.156.45.169;8080;5746;1240;1821306;KH;Cambodia;"""Phnom Penh""";263;213;4;1;0;0;0
82.114.75.104;82.114.75.104;4145;5804;2400;783754;AL;Albania;;2815;461;4;0;0;1;0
62.183.98.181;62.183.98.181;4145;5805;3240;528293;RU;Russian Federation;Maykop;712;144;4;0;0;1;0
85.117.56.73;85.117.56.73;4145;5809;560;614540;GE;Georgia;;2601;507;4;0;0;1;0
51.83.69.255;51.83.69.255;9050;5810;700;3017382;FR;France;;376;402;4;0;0;1;1
187.120.253.119;187.120.253.119;30181;5838;5100;3456412;BR;Brazil;Muzambinho;421;612;4;1;0;0;0
186.193.23.17;186.193.23.17;3128;5842;3660;3467326;;;;1625;2305;1;1;0;0;0
186.193.20.59;186.193.20.59;3128;5842;3940;3467326;;;;424;537;1;1;0;0;0
112.133.218.84;112.133.218.84;8080;5843;2400;1253869;IN;India;Umargam;871;888;1;1;0;0;0
199.19.254.148;199.19.254.148;8080;5854;4480;6077243;CA;Canada;Montreal;171;48;4;0;1;0;0
24.225.237.246;24.225.237.246;50732;5919;1000;6077243;CA;Canada;Montreal;245;58;4;0;0;1;0
37.235.65.76;37.235.65.76;8080;5922;3020;520555;RU;Russian Federation;"""Nizhniy Novgorod""";10755;12549;1;1;0;0;0
cable-89-216-18-234.static.sbb.rs;89.216.18.234;4145;5970;3320;792680;RS;Serbia;Belgrade;165;23;4;0;0;1;0
120.132.52.204;120.132.52.204;8888;5970;1320;1816670;CN;China;Beijing;445;11;4;1;0;0;0
sg5.sshagan.us;167.71.213.179;8080;5973;1340;1880252;SG;Singapore;Singapore;413;89;1;1;0;0;0
43.248.24.158;43.248.24.158;41705;6011;2460;1643084;ID;Indonesia;;4912;161;4;0;0;1;0
79.190.145.142;79.190.145.142;3128;6047;4040;3099434;PL;Poland;"""Gdańsk""";40;84;3;1;0;0;0
191.240.152.130;191.240.152.130;80;6057;1220;3448439;BR;Brazil;"""São Paulo""";854;154;2;1;0;0;0
191.240.152.129;191.240.152.129;80;6059;1220;3448439;BR;Brazil;"""São Paulo""";870;143;2;1;0;0;0
125.132.204.216;125.132.204.216;8080;6066;5100;1897000;KR;Korea;Seongnam-si;116;207;1;1;0;0;0
118.172.43.60;118.172.43.60;8080;6066;5100;1606590;TH;Thailand;"""Samut Prakan""";18;43;1;1;0;0;0
41.73.15.246;41.73.15.246;8080;6070;760;2322794;NG;Nigeria;Suleja;5993;115;1;1;0;0;0
62.33.207.202;62.33.207.202;3128;6074;2980;493702;RU;Russian Federation;Mikhaylovsk;4792;761;1;1;0;0;0
187.162.11.94;187.162.11.94;3128;6091;5100;3995465;MX;Mexico;Monterrey;4798;832;1;1;0;0;0
177.70.172.242;177.70.172.242;8080;6092;1480;3445818;BR;Brazil;Umbauba;721;807;1;1;0;0;0
181.143.221.76;181.143.221.76;53281;6097;1640;3674962;CO;Colombia;Medellín;1541;999;1;1;0;0;0
41.73.15.130;41.73.15.130;8080;6098;800;2322794;NG;Nigeria;Suleja;6149;116;1;1;0;0;0
41.73.15.134;41.73.15.134;80;6099;880;2322794;NG;Nigeria;Suleja;5754;130;1;1;0;0;0
113.252.222.73;113.252.222.73;80;6107;800;1818209;HK;Hong Kong;"""Tsuen Wan""";314;169;4;1;0;0;0
95.84.128.25;95.84.128.25;39363;6132;120;524901;RU;Russian Federation;Moscow;6041;503;4;0;0;1;0
177.130.156.175;177.130.156.175;4145;6137;1320;3456814;BR;Brazil;"""Montes Claros""";163;1;4;0;0;1;0
191.37.165.85;191.37.165.85;56616;6138;1300;3451190;BR;Brazil;"""Rio de Janeiro""";138;1;4;0;0;1;0
46.34.133.72;46.34.133.72;8291;6140;140;524901;RU;Russian Federation;Moscow;228;63;4;0;0;1;0
79.135.65.140;79.135.65.140;1089;6140;160;1486209;RU;Russian Federation;Ekaterinburg;84;0;4;0;0;1;0
77.51.177.242;77.51.177.242;1080;6140;120;524901;RU;Russian Federation;Moscow;74;0;4;0;0;1;0
210.245.51.23;210.245.51.23;4145;6153;4460;1581130;VN;Vietnam;Hanoi;2126;600;4;0;0;1;0
200.5.203.58;200.5.203.58;56142;6155;4580;3837213;AR;Argentina;"""San Juan""";1643;429;4;0;0;1;0
219.92.54.250;219.92.54.250;58395;6156;2240;1777077;MY;Malaysia;Cheras;406;299;4;0;0;1;0
103.57.80.42;103.57.80.42;4145;6157;2060;1277333;IN;India;Bengaluru;506;108;4;0;0;1;0
