city_id|city_name|region_id|region_name|uik_id|uik_name|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|F13|F14|F15|F16|
1|Москва|2|район Вешняки|5007|УИК №5007|317|550|160|15|375|15|160|5|170|0|0|1|9|14|7|139|
1|Москва|2|район Вешняки|5008|УИК №5008|595|700|268|69|363|69|268|9|328|0|0|5|13|39|17|254|
1|Москва|2|район Вешняки|5009|УИК №5009|458|650|305|41|304|41|305|5|341|0|0|4|24|37|16|260|
1|Москва|3|район Восточное Измайлово|||40553|30500|12055|1616|16829|1616|12031|472|13175|0|0|306|1068|1804|1076|8921|
1|Москва|3|район Восточное Измайлово|918|УИК №918|1926|1400|581|51|768|51|581|16|616|0|0|19|48|85|44|420|
1|Москва|3|район Восточное Измайлово|919|УИК №919|428|500|189|232|79|232|189|11|410|0|0|1|7|14|8|380|
1|Москва|3|район Восточное Измайлово|920|УИК №920|2071|1500|629|56|815|56|629|26|659|0|0|18|44|101|52|444|
1|Москва|3|район Восточное Измайлово|921|УИК №921|1617|1200|449|85|666|85|449|18|516|0|0|6|57|67|54|332|
1|Москва|3|район Восточное Измайлово|922|УИК №922|2073|1500|594|84|822|84|593|30|647|0|0|19|46|75|44|463|
1|Москва|3|район Восточное Измайлово|923|УИК №923|1799|1300|535|65|700|65|535|21|579|0|0|12|48|79|57|383|
1|Москва|3|район Восточное Измайлово|924|УИК №924|1969|1400|617|74|709|74|617|15|676|0|0|14|43|77|51|491|
1|Москва|3|район Восточное Измайлово|925|УИК №925|2031|1500|598|66|836|66|595|15|646|0|0|21|48|75|28|474|
1|Москва|3|район Восточное Измайлово|926|УИК №926|1789|1300|454|38|808|38|452|17|473|0|0|11|48|78|51|285|
1|Москва|3|район Восточное Измайлово|927|УИК №927|2034|1500|543|83|874|83|541|29|595|0|0|18|53|92|42|390|
1|Москва|3|район Восточное Измайлово|928|УИК №928|2270|1600|780|33|787|33|776|25|784|0|0|16|77|104|74|513|
1|Москва|3|район Восточное Измайлово|929|УИК №929|2022|1400|550|34|816|34|550|26|558|0|0|7|36|65|71|379|
1|Москва|3|район Восточное Измайлово|930|УИК №930|1977|1400|579|70|751|70|579|20|629|0|0|16|62|94|53|404|
1|Москва|3|район Восточное Измайлово|931|УИК №931|2334|1700|660|36|1004|36|657|26|667|0|0|12|49|117|52|437|
1|Москва|3|район Восточное Измайлово|932|УИК №932|550|400|169|40|191|40|169|8|201|0|0|2|13|19|13|154|
1|Москва|3|район Восточное Измайлово|933|УИК №933|1719|1300|559|41|700|41|558|25|574|0|0|20|48|102|46|358|
1|Москва|3|район Восточное Измайлово|934|УИК №934|1542|1200|445|53|702|53|444|17|480|0|0|11|45|66|40|318|
1|Москва|3|район Восточное Измайлово|935|УИК №935|2251|1700|672|45|983|45|670|21|694|0|0|14|59|88|85|448|
1|Москва|3|район Восточное Измайлово|936|УИК №936|2052|1500|560|52|888|52|560|31|581|0|0|5|46|75|49|406|
1|Москва|3|район Восточное Измайлово|937|УИК №937|2125|1500|651|97|752|97|647|24|720|0|0|21|63|119|72|445|
1|Москва|3|район Восточное Измайлово|938|УИК №938|1841|1400|543|68|789|68|543|21|590|0|0|15|53|107|43|372|
1|Москва|3|район Восточное Измайлово|939|УИК №939|1759|1300|516|41|743|41|515|26|530|0|0|17|59|70|40|344|
1|Москва|3|район Восточное Измайлово|3669|УИК №3669|317|800|162|155|483|155|162|2|315|0|0|10|15|30|5|255|
1|Москва|3|район Восточное Измайлово|3670|УИК №3670|57|200|20|17|163|17|20|2|35|0|0|1|1|5|2|26|
1|Москва|4|район Гольяново|||100703|75200|25844|2136|47220|2136|25823|850|27109|0|0|527|2339|3513|2258|18472|
1|Москва|4|район Гольяново|944|УИК №944|2450|1800|663|46|1091|46|663|20|689|0|0|10|51|85|44|499|
1|Москва|4|район Гольяново|945|УИК №945|2182|1600|473|24|1103|24|473|12|485|0|0|11|48|65|41|320|
1|Москва|4|район Гольяново|946|УИК №946|285|200|80|6|114|6|80|2|84|0|0|3|4|11|5|61|
1|Москва|4|район Гольяново|947|УИК №947|2589|1800|717|70|1013|70|717|19|768|0|0|17|67|101|57|526|
1|Москва|4|район Гольяново|948|УИК №948|2242|1700|519|47|1134|47|518|13|552|0|0|14|53|74|65|346|
1|Москва|4|район Гольяново|949|УИК №949|2068|1500|549|43|908|43|549|17|575|0|0|18|50|73|51|383|
1|Москва|4|район Гольяново|950|УИК №950|2022|1500|499|68|933|68|499|12|555|0|0|8|32|70|49|396|
1|Москва|4|район Гольяново|951|УИК №951|2287|1700|581|49|1070|49|580|21|608|0|0|11|55|61|49|432|
1|Москва|4|район Гольяново|952|УИК №952|2584|1900|546|57|1297|57|546|24|579|0|0|7|53|65|47|407|
1|Москва|4|район Гольяново|953|УИК №953|1877|1300|493|59|748|59|493|12|540|0|0|12|39|87|54|348|
1|Москва|4|район Гольяново|954|УИК №954|2429|1800|685|83|1032|83|685|26|742|0|0|16|61|98|66|501|
1|Москва|4|район Гольяново|955|УИК №955|2450|1800|682|47|1071|47|680|21|706|0|0|5|48|81|58|514|
1|Москва|4|район Гольяново|956|УИК №956|2204|1600|572|50|978|50|572|14|608|0|0|16|64|74|47|407|
1|Москва|4|район Гольяново|957|УИК №957|1956|1500|539|75|886|75|537|12|600|0|0|11|54|55|52|428|
1|Москва|4|район Гольяново|958|УИК №958|2245|1700|586|31|1083|31|585|21|595|0|0|16|61|94|53|371|
1|Москва|4|район Гольяново|959|УИК №959|2017|1500|557|53|890|53|557|14|596|0|0|7|47|71|36|435|
1|Москва|4|район Гольяново|960|УИК №960|2113|1600|577|56|967|56|577|25|608|0|0|12|39|102|47|408|
1|Москва|4|район Гольяново|961|УИК №961|1864|1400|451|58|891|58|451|16|493|0|0|19|34|83|37|320|
